Format,Metric,Year,Number of Records,Value (Actual)
Cassette,Units,2011-01-01,1,0.0
Cassette,Units,2012-01-01,1,29.266338245
Cassette,Units,2013-01-01,1,29.266338245
Cassette,Units,2014-01-01,1,29.266338245
Cassette,Units,2015-01-01,1,29.266338245
Cassette,Units,2016-01-01,1,29.266338245
Cassette,Units,2017-01-01,1,29.266338245
Cassette,Units,2018-01-01,1,29.266338245
Cassette,Units,2019-01-01,1,29.266338245
Cassette Single,Units,1973-01-01,1,29.266338245
Cassette Single,Units,1974-01-01,1,29.266338245
Cassette Single,Units,1975-01-01,1,29.266338245
Cassette Single,Units,1976-01-01,1,29.266338245
Cassette Single,Units,1977-01-01,1,29.266338245
Cassette Single,Units,1978-01-01,1,29.266338245
Cassette Single,Units,1979-01-01,1,29.266338245
Cassette Single,Units,1980-01-01,1,29.266338245
Cassette Single,Units,1981-01-01,1,29.266338245
Cassette Single,Units,1982-01-01,1,29.266338245
Cassette Single,Units,1983-01-01,1,29.266338245
Cassette Single,Units,1984-01-01,1,29.266338245
Cassette Single,Units,1985-01-01,1,29.266338245
Cassette Single,Units,1986-01-01,1,29.266338245
Cassette Single,Units,1987-01-01,1,5.1
Cassette Single,Units,1988-01-01,1,22.5
Cassette Single,Units,1989-01-01,1,76.2
Cassette Single,Units,1990-01-01,1,87.4
Cassette Single,Units,1991-01-01,1,69.0
Cassette Single,Units,1992-01-01,1,84.6
Cassette Single,Units,1993-01-01,1,85.6
Cassette Single,Units,1994-01-01,1,81.1
Cassette Single,Units,1995-01-01,1,70.7
Cassette Single,Units,1996-01-01,1,59.9
Cassette Single,Units,1997-01-01,1,42.2
Cassette Single,Units,1998-01-01,1,26.4
Cassette Single,Units,1999-01-01,1,14.2
Cassette Single,Units,2000-01-01,1,1.3
Cassette Single,Units,2001-01-01,1,1.5
Cassette Single,Units,2002-01-01,1,0.5
Cassette Single,Units,2003-01-01,1,0.0
Cassette Single,Units,2004-01-01,1,0.0
Cassette Single,Units,2005-01-01,1,0.0
Cassette Single,Units,2006-01-01,1,0.0
Cassette Single,Units,2007-01-01,1,0.0
Cassette Single,Units,2008-01-01,1,0.0
Cassette Single,Units,2009-01-01,1,0.0
Cassette Single,Units,2010-01-01,1,0.0
Cassette Single,Units,2011-01-01,1,0.0
Cassette Single,Units,2012-01-01,1,29.266338245
Cassette Single,Units,2013-01-01,1,29.266338245
Cassette Single,Units,2014-01-01,1,29.266338245
Cassette Single,Units,2015-01-01,1,29.266338245
Cassette Single,Units,2016-01-01,1,29.266338245
Cassette Single,Units,2017-01-01,1,29.266338245
Cassette Single,Units,2018-01-01,1,29.266338245
Cassette Single,Units,2019-01-01,1,29.266338245
LP/EP,Units,1973-01-01,1,280.0
LP/EP,Units,1974-01-01,1,276.0
LP/EP,Units,1975-01-01,1,257.0
LP/EP,Units,1976-01-01,1,273.0
LP/EP,Units,1977-01-01,1,344.0
LP/EP,Units,1978-01-01,1,341.3
LP/EP,Units,1979-01-01,1,290.0
LP/EP,Units,1980-01-01,1,308.0
LP/EP,Units,1981-01-01,1,295.2
LP/EP,Units,1982-01-01,1,243.9
LP/EP,Units,1983-01-01,1,209.6
LP/EP,Units,1984-01-01,1,204.6
LP/EP,Units,1985-01-01,1,167.0
LP/EP,Units,1986-01-01,1,125.2
LP/EP,Units,1987-01-01,1,107.0
LP/EP,Units,1988-01-01,1,72.4
LP/EP,Units,1989-01-01,1,34.6
LP/EP,Units,1990-01-01,1,11.7
LP/EP,Units,1991-01-01,1,4.8
LP/EP,Units,1992-01-01,1,2.3
LP/EP,Units,1993-01-01,1,1.2
LP/EP,Units,1994-01-01,1,1.9
LP/EP,Units,1995-01-01,1,2.2
LP/EP,Units,1996-01-01,1,2.9
LP/EP,Units,1997-01-01,1,2.7
LP/EP,Units,1998-01-01,1,3.4
LP/EP,Units,1999-01-01,1,2.9
LP/EP,Units,2000-01-01,1,2.2
LP/EP,Units,2001-01-01,1,2.3
LP/EP,Units,2002-01-01,1,1.743
LP/EP,Units,2003-01-01,1,1.5
LP/EP,Units,2004-01-01,1,1.4
LP/EP,Units,2005-01-01,1,1.0
LP/EP,Units,2006-01-01,1,0.9
LP/EP,Units,2007-01-01,1,1.3
LP/EP,Units,2008-01-01,1,2.9
LP/EP,Units,2009-01-01,1,3.5
LP/EP,Units,2010-01-01,1,4.2
LP/EP,Units,2011-01-01,1,5.5
LP/EP,Units,2012-01-01,1,6.915365189
LP/EP,Units,2013-01-01,1,9.35128587
LP/EP,Units,2014-01-01,1,10.31556391
LP/EP,Units,2015-01-01,1,13.68102972
LP/EP,Units,2016-01-01,1,14.77088603
LP/EP,Units,2017-01-01,1,15.55608917
LP/EP,Units,2018-01-01,1,16.67012733
LP/EP,Units,2019-01-01,1,19.10316283
Vinyl Single,Units,1973-01-01,1,228.0
Vinyl Single,Units,1974-01-01,1,204.0
Vinyl Single,Units,1975-01-01,1,164.0
Vinyl Single,Units,1976-01-01,1,190.0
Vinyl Single,Units,1977-01-01,1,190.0
Vinyl Single,Units,1978-01-01,1,190.0
Vinyl Single,Units,1979-01-01,1,212.0
Vinyl Single,Units,1980-01-01,1,157.0
Vinyl Single,Units,1981-01-01,1,154.7
Vinyl Single,Units,1982-01-01,1,137.2
Vinyl Single,Units,1983-01-01,1,124.8
Vinyl Single,Units,1984-01-01,1,131.5
Vinyl Single,Units,1985-01-01,1,120.7
Vinyl Single,Units,1986-01-01,1,93.9
Vinyl Single,Units,1987-01-01,1,82.0
Vinyl Single,Units,1988-01-01,1,65.6
Vinyl Single,Units,1989-01-01,1,36.6
Vinyl Single,Units,1990-01-01,1,27.6
Vinyl Single,Units,1991-01-01,1,22.0
Vinyl Single,Units,1992-01-01,1,19.8
Vinyl Single,Units,1993-01-01,1,15.1
Vinyl Single,Units,1994-01-01,1,11.7
Vinyl Single,Units,1995-01-01,1,10.2
Vinyl Single,Units,1996-01-01,1,10.1
Vinyl Single,Units,1997-01-01,1,7.5
Vinyl Single,Units,1998-01-01,1,5.4
Vinyl Single,Units,1999-01-01,1,5.3
Vinyl Single,Units,2000-01-01,1,4.8
Vinyl Single,Units,2001-01-01,1,5.5
Vinyl Single,Units,2002-01-01,1,4.4
Vinyl Single,Units,2003-01-01,1,3.8
Vinyl Single,Units,2004-01-01,1,3.5
Vinyl Single,Units,2005-01-01,1,2.3
Vinyl Single,Units,2006-01-01,1,1.5
Vinyl Single,Units,2007-01-01,1,0.6
Vinyl Single,Units,2008-01-01,1,0.4
Vinyl Single,Units,2009-01-01,1,0.3
Vinyl Single,Units,2010-01-01,1,0.3
Vinyl Single,Units,2011-01-01,1,0.4
Vinyl Single,Units,2012-01-01,1,0.388573687
Vinyl Single,Units,2013-01-01,1,0.315817054
Vinyl Single,Units,2014-01-01,1,0.481198278
Vinyl Single,Units,2015-01-01,1,0.50786991
Vinyl Single,Units,2016-01-01,1,0.404330651
Vinyl Single,Units,2017-01-01,1,0.402959365
Vinyl Single,Units,2018-01-01,1,0.346165002
Vinyl Single,Units,2019-01-01,1,0.336120488
8 - Track,Units,1973-01-01,1,91.0
8 - Track,Units,1974-01-01,1,96.7
8 - Track,Units,1975-01-01,1,94.6
8 - Track,Units,1976-01-01,1,106.1
8 - Track,Units,1977-01-01,1,127.3
8 - Track,Units,1978-01-01,1,133.6
8 - Track,Units,1979-01-01,1,102.3
8 - Track,Units,1980-01-01,1,85.0
8 - Track,Units,1981-01-01,1,50.0
8 - Track,Units,1982-01-01,1,13.7
8 - Track,Units,1983-01-01,1,0.0
8 - Track,Units,1984-01-01,1,0.0
8 - Track,Units,1985-01-01,1,0.0
8 - Track,Units,1986-01-01,1,0.0
8 - Track,Units,1987-01-01,1,0.0
8 - Track,Units,1988-01-01,1,0.0
8 - Track,Units,1989-01-01,1,0.0
8 - Track,Units,1990-01-01,1,0.0
8 - Track,Units,1991-01-01,1,0.0
8 - Track,Units,1992-01-01,1,0.0
8 - Track,Units,1993-01-01,1,0.0
8 - Track,Units,1994-01-01,1,0.0
8 - Track,Units,1995-01-01,1,0.0
8 - Track,Units,1996-01-01,1,0.0
8 - Track,Units,1997-01-01,1,0.0
8 - Track,Units,1998-01-01,1,0.0
8 - Track,Units,1999-01-01,1,0.0
8 - Track,Units,2000-01-01,1,0.0
8 - Track,Units,2001-01-01,1,0.0
8 - Track,Units,2002-01-01,1,0.0
8 - Track,Units,2003-01-01,1,0.0
8 - Track,Units,2004-01-01,1,0.0
8 - Track,Units,2005-01-01,1,0.0
8 - Track,Units,2006-01-01,1,0.0
8 - Track,Units,2007-01-01,1,0.0
8 - Track,Units,2008-01-01,1,0.0
8 - Track,Units,2009-01-01,1,0.0
8 - Track,Units,2010-01-01,1,0.0
8 - Track,Units,2011-01-01,1,0.0
8 - Track,Units,2012-01-01,1,29.266338245
8 - Track,Units,2013-01-01,1,29.266338245
8 - Track,Units,2014-01-01,1,29.266338245
8 - Track,Units,2015-01-01,1,29.266338245
8 - Track,Units,2016-01-01,1,29.266338245
8 - Track,Units,2017-01-01,1,29.266338245
8 - Track,Units,2018-01-01,1,29.266338245
8 - Track,Units,2019-01-01,1,29.266338245
