Format,Metric,Year,Number of Records,Value (Actual)
Download Album,Units,2016-01-01,1,85.12334989
Download Album,Units,2017-01-01,1,66.38610376
Download Album,Units,2018-01-01,1,49.73492454
Download Album,Units,2019-01-01,1,40.20271234
Kiosk,Units,1973-01-01,1,29.266338245
Kiosk,Units,1974-01-01,1,29.266338245
Kiosk,Units,1975-01-01,1,29.266338245
Kiosk,Units,1976-01-01,1,29.266338245
Kiosk,Units,1977-01-01,1,29.266338245
Kiosk,Units,1978-01-01,1,29.266338245
Kiosk,Units,1979-01-01,1,29.266338245
Kiosk,Units,1980-01-01,1,29.266338245
Kiosk,Units,1981-01-01,1,29.266338245
Kiosk,Units,1982-01-01,1,29.266338245
Kiosk,Units,1983-01-01,1,29.266338245
Kiosk,Units,1984-01-01,1,29.266338245
Kiosk,Units,1985-01-01,1,29.266338245
Kiosk,Units,1986-01-01,1,29.266338245
Kiosk,Units,1987-01-01,1,29.266338245
Kiosk,Units,1988-01-01,1,29.266338245
Kiosk,Units,1989-01-01,1,29.266338245
Kiosk,Units,1990-01-01,1,29.266338245
Kiosk,Units,1991-01-01,1,29.266338245
Kiosk,Units,1992-01-01,1,29.266338245
Kiosk,Units,1993-01-01,1,29.266338245
Kiosk,Units,1994-01-01,1,29.266338245
Kiosk,Units,1995-01-01,1,29.266338245
Kiosk,Units,1996-01-01,1,29.266338245
Kiosk,Units,1997-01-01,1,29.266338245
Kiosk,Units,1998-01-01,1,29.266338245
Kiosk,Units,1999-01-01,1,29.266338245
Kiosk,Units,2000-01-01,1,29.266338245
Kiosk,Units,2001-01-01,1,29.266338245
Kiosk,Units,2002-01-01,1,29.266338245
Kiosk,Units,2003-01-01,1,29.266338245
Kiosk,Units,2004-01-01,1,29.266338245
Kiosk,Units,2005-01-01,1,0.7
Kiosk,Units,2006-01-01,1,1.4
Kiosk,Units,2007-01-01,1,1.8
Kiosk,Units,2008-01-01,1,1.6
Kiosk,Units,2009-01-01,1,1.7
Kiosk,Units,2010-01-01,1,1.7
Kiosk,Units,2011-01-01,1,1.3
Kiosk,Units,2012-01-01,1,1.95507
Kiosk,Units,2013-01-01,1,3.7442
Kiosk,Units,2014-01-01,1,1.592073358
Kiosk,Units,2015-01-01,1,2.202659889
Kiosk,Units,2016-01-01,1,1.74878121
Kiosk,Units,2017-01-01,1,1.322377717
Kiosk,Units,2018-01-01,1,1.097856529
Kiosk,Units,2019-01-01,1,0.899703865
Download Music Video,Units,1973-01-01,1,29.266338245
Download Music Video,Units,1974-01-01,1,29.266338245
Download Music Video,Units,1975-01-01,1,29.266338245
Download Music Video,Units,1976-01-01,1,29.266338245
Download Music Video,Units,1977-01-01,1,29.266338245
Download Music Video,Units,1978-01-01,1,29.266338245
Download Music Video,Units,1979-01-01,1,29.266338245
Download Music Video,Units,1980-01-01,1,29.266338245
Download Music Video,Units,1981-01-01,1,29.266338245
Download Music Video,Units,1982-01-01,1,29.266338245
Download Music Video,Units,1983-01-01,1,29.266338245
Download Music Video,Units,1984-01-01,1,29.266338245
Download Music Video,Units,1985-01-01,1,29.266338245
Download Music Video,Units,1986-01-01,1,29.266338245
Download Music Video,Units,1987-01-01,1,29.266338245
Download Music Video,Units,1988-01-01,1,29.266338245
Download Music Video,Units,1989-01-01,1,29.266338245
Download Music Video,Units,1990-01-01,1,29.266338245
Download Music Video,Units,1991-01-01,1,29.266338245
Download Music Video,Units,1992-01-01,1,29.266338245
Download Music Video,Units,1993-01-01,1,29.266338245
Download Music Video,Units,1994-01-01,1,29.266338245
Download Music Video,Units,1995-01-01,1,29.266338245
Download Music Video,Units,1996-01-01,1,29.266338245
Download Music Video,Units,1997-01-01,1,29.266338245
Download Music Video,Units,1998-01-01,1,29.266338245
Download Music Video,Units,1999-01-01,1,29.266338245
Download Music Video,Units,2000-01-01,1,29.266338245
Download Music Video,Units,2001-01-01,1,29.266338245
Download Music Video,Units,2002-01-01,1,29.266338245
Download Music Video,Units,2003-01-01,1,29.266338245
Download Music Video,Units,2004-01-01,1,29.266338245
Download Music Video,Units,2005-01-01,1,1.9
Download Music Video,Units,2006-01-01,1,9.9
Download Music Video,Units,2007-01-01,1,14.2
Download Music Video,Units,2008-01-01,1,20.8
Download Music Video,Units,2009-01-01,1,20.5
Download Music Video,Units,2010-01-01,1,18.4
Download Music Video,Units,2011-01-01,1,16.3
Download Music Video,Units,2012-01-01,1,10.473489
Download Music Video,Units,2013-01-01,1,8.412464
Download Music Video,Units,2014-01-01,1,6.82264392
Download Music Video,Units,2015-01-01,1,3.223325002
Download Music Video,Units,2016-01-01,1,2.145427196
Download Music Video,Units,2017-01-01,1,1.399889693
Download Music Video,Units,2018-01-01,1,1.115985226
Download Music Video,Units,2019-01-01,1,0.93412583
Ringtones & Ringbacks,Units,1973-01-01,1,29.266338245
Ringtones & Ringbacks,Units,1974-01-01,1,29.266338245
Ringtones & Ringbacks,Units,1975-01-01,1,29.266338245
Ringtones & Ringbacks,Units,1976-01-01,1,29.266338245
Ringtones & Ringbacks,Units,1977-01-01,1,29.266338245
Ringtones & Ringbacks,Units,1978-01-01,1,29.266338245
Ringtones & Ringbacks,Units,1979-01-01,1,29.266338245
Ringtones & Ringbacks,Units,1980-01-01,1,29.266338245
Ringtones & Ringbacks,Units,1981-01-01,1,29.266338245
Ringtones & Ringbacks,Units,1982-01-01,1,29.266338245
Ringtones & Ringbacks,Units,1983-01-01,1,29.266338245
Ringtones & Ringbacks,Units,1984-01-01,1,29.266338245
Ringtones & Ringbacks,Units,1985-01-01,1,29.266338245
Ringtones & Ringbacks,Units,1986-01-01,1,29.266338245
Ringtones & Ringbacks,Units,1987-01-01,1,29.266338245
Ringtones & Ringbacks,Units,1988-01-01,1,29.266338245
Ringtones & Ringbacks,Units,1989-01-01,1,29.266338245
Ringtones & Ringbacks,Units,1990-01-01,1,29.266338245
Ringtones & Ringbacks,Units,1991-01-01,1,29.266338245
Ringtones & Ringbacks,Units,1992-01-01,1,29.266338245
Ringtones & Ringbacks,Units,1993-01-01,1,29.266338245
Ringtones & Ringbacks,Units,1994-01-01,1,29.266338245
Ringtones & Ringbacks,Units,1995-01-01,1,29.266338245
Ringtones & Ringbacks,Units,1996-01-01,1,29.266338245
Ringtones & Ringbacks,Units,1997-01-01,1,29.266338245
Ringtones & Ringbacks,Units,1998-01-01,1,29.266338245
Ringtones & Ringbacks,Units,1999-01-01,1,29.266338245
Ringtones & Ringbacks,Units,2000-01-01,1,29.266338245
Ringtones & Ringbacks,Units,2001-01-01,1,29.266338245
Ringtones & Ringbacks,Units,2002-01-01,1,29.266338245
Ringtones & Ringbacks,Units,2003-01-01,1,29.266338245
Ringtones & Ringbacks,Units,2004-01-01,1,29.266338245
Ringtones & Ringbacks,Units,2005-01-01,1,170.0
Ringtones & Ringbacks,Units,2006-01-01,1,315.0
Ringtones & Ringbacks,Units,2007-01-01,1,433.8
Ringtones & Ringbacks,Units,2008-01-01,1,405.1
Ringtones & Ringbacks,Units,2009-01-01,1,294.3
Ringtones & Ringbacks,Units,2010-01-01,1,188.5
Ringtones & Ringbacks,Units,2011-01-01,1,115.4
Ringtones & Ringbacks,Units,2012-01-01,1,58.75740356
Ringtones & Ringbacks,Units,2013-01-01,1,39.36623578
Ringtones & Ringbacks,Units,2014-01-01,1,26.63232368
Ringtones & Ringbacks,Units,2015-01-01,1,21.92486605
Ringtones & Ringbacks,Units,2016-01-01,1,22.62078539
Ringtones & Ringbacks,Units,2017-01-01,1,14.26286994
Ringtones & Ringbacks,Units,2018-01-01,1,10.02628673
Ringtones & Ringbacks,Units,2019-01-01,1,8.605769716
Paid Subscriptions,Units,1973-01-01,1,29.266338245
Paid Subscriptions,Units,1974-01-01,1,29.266338245
Paid Subscriptions,Units,1975-01-01,1,29.266338245
Paid Subscriptions,Units,1976-01-01,1,29.266338245
Paid Subscriptions,Units,1977-01-01,1,29.266338245
Paid Subscriptions,Units,1978-01-01,1,29.266338245
Paid Subscriptions,Units,1979-01-01,1,29.266338245
Paid Subscriptions,Units,1980-01-01,1,29.266338245
Paid Subscriptions,Units,1981-01-01,1,29.266338245
Paid Subscriptions,Units,1982-01-01,1,29.266338245
Paid Subscriptions,Units,1983-01-01,1,29.266338245
Paid Subscriptions,Units,1984-01-01,1,29.266338245
Paid Subscriptions,Units,1985-01-01,1,29.266338245
Paid Subscriptions,Units,1986-01-01,1,29.266338245
Paid Subscriptions,Units,1987-01-01,1,29.266338245
Paid Subscriptions,Units,1988-01-01,1,29.266338245
Paid Subscriptions,Units,1989-01-01,1,29.266338245
Paid Subscriptions,Units,1990-01-01,1,29.266338245
Paid Subscriptions,Units,1991-01-01,1,29.266338245
Paid Subscriptions,Units,1992-01-01,1,29.266338245
Paid Subscriptions,Units,1993-01-01,1,29.266338245
Paid Subscriptions,Units,1994-01-01,1,29.266338245
Paid Subscriptions,Units,1995-01-01,1,29.266338245
Paid Subscriptions,Units,1996-01-01,1,29.266338245
Paid Subscriptions,Units,1997-01-01,1,29.266338245
Paid Subscriptions,Units,1998-01-01,1,29.266338245
Paid Subscriptions,Units,1999-01-01,1,29.266338245
Paid Subscriptions,Units,2000-01-01,1,29.266338245
Paid Subscriptions,Units,2001-01-01,1,29.266338245
Paid Subscriptions,Units,2002-01-01,1,29.266338245
Paid Subscriptions,Units,2003-01-01,1,29.266338245
Paid Subscriptions,Units,2004-01-01,1,29.266338245
Paid Subscriptions,Units,2005-01-01,1,1.3
Paid Subscriptions,Units,2006-01-01,1,1.7
Paid Subscriptions,Units,2007-01-01,1,1.8
Paid Subscriptions,Units,2008-01-01,1,1.6
Paid Subscriptions,Units,2009-01-01,1,1.2
Paid Subscriptions,Units,2010-01-01,1,1.5
Paid Subscriptions,Units,2011-01-01,1,1.8
Paid Subscriptions,Units,2012-01-01,1,3.36
Paid Subscriptions,Units,2013-01-01,1,6.16
Paid Subscriptions,Units,2014-01-01,1,7.73
Paid Subscriptions,Units,2015-01-01,1,10.84
Paid Subscriptions,Units,2016-01-01,1,22.68
Paid Subscriptions,Units,2017-01-01,1,35.27350122
Paid Subscriptions,Units,2018-01-01,1,46.91132324
Paid Subscriptions,Units,2019-01-01,1,60.38194761
Paid Subscriptions,Units,1973-01-01,1,29.266338245
Paid Subscriptions,Units,1974-01-01,1,29.266338245
Paid Subscriptions,Units,1975-01-01,1,29.266338245
Paid Subscriptions,Units,1976-01-01,1,29.266338245
Paid Subscriptions,Units,1977-01-01,1,29.266338245
Paid Subscriptions,Units,1978-01-01,1,29.266338245
Paid Subscriptions,Units,1979-01-01,1,29.266338245
Paid Subscriptions,Units,1980-01-01,1,29.266338245
Paid Subscriptions,Units,1981-01-01,1,29.266338245
Paid Subscriptions,Units,1982-01-01,1,29.266338245
Paid Subscriptions,Units,1983-01-01,1,29.266338245
Paid Subscriptions,Units,1984-01-01,1,29.266338245
Paid Subscriptions,Units,1985-01-01,1,29.266338245
Paid Subscriptions,Units,1986-01-01,1,29.266338245
Paid Subscriptions,Units,1987-01-01,1,29.266338245
Paid Subscriptions,Units,1988-01-01,1,29.266338245
Paid Subscriptions,Units,1989-01-01,1,29.266338245
Paid Subscriptions,Units,1990-01-01,1,29.266338245
Paid Subscriptions,Units,1991-01-01,1,29.266338245
Paid Subscriptions,Units,1992-01-01,1,29.266338245
Paid Subscriptions,Units,1993-01-01,1,29.266338245
Paid Subscriptions,Units,1994-01-01,1,29.266338245
Paid Subscriptions,Units,1995-01-01,1,29.266338245
Paid Subscriptions,Units,1996-01-01,1,29.266338245
Paid Subscriptions,Units,1997-01-01,1,29.266338245
Paid Subscriptions,Units,1998-01-01,1,29.266338245
Paid Subscriptions,Units,1999-01-01,1,29.266338245
Paid Subscriptions,Units,2000-01-01,1,29.266338245
Paid Subscriptions,Units,2001-01-01,1,29.266338245
Paid Subscriptions,Units,2002-01-01,1,29.266338245
Paid Subscriptions,Units,2003-01-01,1,29.266338245
Paid Subscriptions,Units,2004-01-01,1,29.266338245
Paid Subscriptions,Units,2005-01-01,1,1.3
Paid Subscriptions,Units,2006-01-01,1,1.7
Paid Subscriptions,Units,2007-01-01,1,1.8
Paid Subscriptions,Units,2008-01-01,1,1.6
Paid Subscriptions,Units,2009-01-01,1,1.2
Paid Subscriptions,Units,2010-01-01,1,1.5
Paid Subscriptions,Units,2011-01-01,1,1.8
Paid Subscriptions,Units,2012-01-01,1,3.4
Paid Subscriptions,Units,2013-01-01,1,6.2
Paid Subscriptions,Units,2014-01-01,1,7.7
Paid Subscriptions,Units,2015-01-01,1,10.8
Paid Subscriptions,Units,2016-01-01,1,22.7
Paid Subscriptions,Units,2017-01-01,1,35.3
Paid Subscriptions,Units,2018-01-01,1,50.2
Paid Subscriptions,Units,2019-01-01,1,29.266338245
CD,Value,1973-01-01,1,29.266338245
CD,Value,1974-01-01,1,29.266338245
CD,Value,1975-01-01,1,29.266338245
CD,Value,1976-01-01,1,29.266338245
CD,Value,1977-01-01,1,29.266338245
CD,Value,1978-01-01,1,29.266338245
CD,Value,1979-01-01,1,29.266338245
CD,Value,1980-01-01,1,29.266338245
CD,Value,1981-01-01,1,29.266338245
CD,Value,1982-01-01,1,29.266338245
CD,Value,1983-01-01,1,17.2
CD,Value,1984-01-01,1,103.3
CD,Value,1985-01-01,1,389.5
CD,Value,1986-01-01,1,930.1
CD,Value,1987-01-01,1,29.266338245
CD,Value,1988-01-01,1,29.266338245
CD,Value,1989-01-01,1,29.266338245
CD,Value,1990-01-01,1,29.266338245
CD,Value,1991-01-01,1,29.266338245
CD,Value,1992-01-01,1,29.266338245
CD,Value,1993-01-01,1,29.266338245
CD,Value,1994-01-01,1,29.266338245
CD,Value,1995-01-01,1,29.266338245
CD,Value,1996-01-01,1,29.266338245
CD,Value,1997-01-01,1,29.266338245
CD,Value,1998-01-01,1,29.266338245
CD,Value,1999-01-01,1,29.266338245
CD,Value,2000-01-01,1,29.266338245
CD,Value,2001-01-01,1,29.266338245
CD,Value,2002-01-01,1,29.266338245
CD,Value,2003-01-01,1,29.266338245
CD,Value,2004-01-01,1,29.266338245
CD,Value,2005-01-01,1,29.266338245
CD,Value,2006-01-01,1,29.266338245
CD,Value,2007-01-01,1,29.266338245
CD,Value,2008-01-01,1,29.266338245
CD,Value,2009-01-01,1,29.266338245
CD,Value,2010-01-01,1,29.266338245
CD,Value,2011-01-01,1,29.266338245
CD,Value,2012-01-01,1,29.266338245
CD,Value,2013-01-01,1,29.266338245
CD,Value,2014-01-01,1,29.266338245
CD,Value,2015-01-01,1,29.266338245
CD,Value,2016-01-01,1,29.266338245
CD,Value,2017-01-01,1,29.266338245
CD,Value,2018-01-01,1,698.3866372
CD,Value,2019-01-01,1,614.5097799
CD Single,Value,1973-01-01,1,29.266338245
CD Single,Value,1974-01-01,1,29.266338245
CD Single,Value,1975-01-01,1,29.266338245
CD Single,Value,1976-01-01,1,29.266338245
CD Single,Value,1977-01-01,1,29.266338245
CD Single,Value,1978-01-01,1,29.266338245
CD Single,Value,1979-01-01,1,29.266338245
CD Single,Value,1980-01-01,1,29.266338245
CD Single,Value,1981-01-01,1,29.266338245
CD Single,Value,1982-01-01,1,29.266338245
CD Single,Value,1983-01-01,1,29.266338245
CD Single,Value,1984-01-01,1,29.266338245
CD Single,Value,1985-01-01,1,29.266338245
CD Single,Value,1986-01-01,1,29.266338245
CD Single,Value,1987-01-01,1,29.266338245
CD Single,Value,1988-01-01,1,9.8
CD Single,Value,1989-01-01,1,0.7
CD Single,Value,1990-01-01,1,6.0
CD Single,Value,1991-01-01,1,35.1
CD Single,Value,1992-01-01,1,45.1
CD Single,Value,1993-01-01,1,45.8
CD Single,Value,1994-01-01,1,56.1
CD Single,Value,1995-01-01,1,110.9
CD Single,Value,1996-01-01,1,184.1
CD Single,Value,1997-01-01,1,272.7
CD Single,Value,1998-01-01,1,213.2
CD Single,Value,1999-01-01,1,222.4
CD Single,Value,2000-01-01,1,142.7
CD Single,Value,2001-01-01,1,79.4
CD Single,Value,2002-01-01,1,19.6
CD Single,Value,2003-01-01,1,36.0
CD Single,Value,2004-01-01,1,15.0
CD Single,Value,2005-01-01,1,10.9
CD Single,Value,2006-01-01,1,7.7
CD Single,Value,2007-01-01,1,12.2
CD Single,Value,2008-01-01,1,3.5
CD Single,Value,2009-01-01,1,3.1
CD Single,Value,2010-01-01,1,2.9
CD Single,Value,2011-01-01,1,3.5
CD Single,Value,2012-01-01,1,3.225092945
CD Single,Value,2013-01-01,1,2.445737226
CD Single,Value,2014-01-01,1,3.616015547
CD Single,Value,2015-01-01,1,1.19694661
CD Single,Value,2016-01-01,1,0.263199082
CD Single,Value,2017-01-01,1,1.478694184
CD Single,Value,2018-01-01,1,0.15516984
CD Single,Value,2019-01-01,1,0.181678878
Cassette,Value,1973-01-01,1,76.0
Cassette,Value,1974-01-01,1,87.2
Cassette,Value,1975-01-01,1,98.8
Cassette,Value,1976-01-01,1,145.7
Cassette,Value,1977-01-01,1,249.6
Cassette,Value,1978-01-01,1,449.8
Cassette,Value,1979-01-01,1,580.6
Cassette,Value,1980-01-01,1,705.0
Cassette,Value,1981-01-01,1,29.266338245
Cassette,Value,1982-01-01,1,29.266338245
Cassette,Value,1983-01-01,1,29.266338245
Cassette,Value,1984-01-01,1,29.266338245
Cassette,Value,1985-01-01,1,29.266338245
Cassette,Value,1986-01-01,1,29.266338245
Cassette,Value,1987-01-01,1,29.266338245
Cassette,Value,1988-01-01,1,29.266338245
Cassette,Value,1989-01-01,1,29.266338245
Cassette,Value,1990-01-01,1,29.266338245
Cassette,Value,1991-01-01,1,29.266338245
Cassette,Value,1992-01-01,1,29.266338245
Cassette,Value,1993-01-01,1,29.266338245
Cassette,Value,1994-01-01,1,29.266338245
Cassette,Value,1995-01-01,1,29.266338245
Cassette,Value,1996-01-01,1,29.266338245
Cassette,Value,1997-01-01,1,29.266338245
Cassette,Value,1998-01-01,1,29.266338245
Cassette,Value,1999-01-01,1,29.266338245
Cassette,Value,2000-01-01,1,626.0
Cassette,Value,2001-01-01,1,363.4
Cassette,Value,2002-01-01,1,209.8
Cassette,Value,2003-01-01,1,108.1
Cassette,Value,2004-01-01,1,23.7
Cassette,Value,2005-01-01,1,13.1
Cassette,Value,2006-01-01,1,3.7
Cassette,Value,2007-01-01,1,3.0
Cassette,Value,2008-01-01,1,0.9
Cassette,Value,2009-01-01,1,0.0
Cassette,Value,2010-01-01,1,29.266338245
Cassette,Value,2011-01-01,1,29.266338245
Cassette,Value,2012-01-01,1,29.266338245
Cassette,Value,2013-01-01,1,29.266338245
Cassette,Value,2014-01-01,1,29.266338245
Cassette,Value,2015-01-01,1,29.266338245
Cassette,Value,2016-01-01,1,29.266338245
Cassette,Value,2017-01-01,1,29.266338245
Cassette,Value,2018-01-01,1,29.266338245
Cassette,Value,2019-01-01,1,29.266338245
Cassette Single,Value,1973-01-01,1,29.266338245
Cassette Single,Value,1974-01-01,1,29.266338245
Cassette Single,Value,1975-01-01,1,29.266338245
Cassette Single,Value,1976-01-01,1,29.266338245
Cassette Single,Value,1977-01-01,1,29.266338245
Cassette Single,Value,1978-01-01,1,29.266338245
Cassette Single,Value,1979-01-01,1,29.266338245
Cassette Single,Value,1980-01-01,1,29.266338245
Cassette Single,Value,1981-01-01,1,29.266338245
Cassette Single,Value,1982-01-01,1,29.266338245
Cassette Single,Value,1983-01-01,1,29.266338245
Cassette Single,Value,1984-01-01,1,29.266338245
Cassette Single,Value,1985-01-01,1,29.266338245
8 - Track,Value,1973-01-01,1,489.0
8 - Track,Value,1974-01-01,1,549.2
8 - Track,Value,1975-01-01,1,583.0
8 - Track,Value,1976-01-01,1,678.2
8 - Track,Value,1977-01-01,1,811.0
8 - Track,Value,1978-01-01,1,948.0
8 - Track,Value,1979-01-01,1,684.3
8 - Track,Value,1980-01-01,1,527.0
8 - Track,Value,1981-01-01,1,313.0
8 - Track,Value,1982-01-01,1,36.0
8 - Track,Value,1983-01-01,1,29.266338245
8 - Track,Value,1984-01-01,1,29.266338245
8 - Track,Value,1985-01-01,1,29.266338245
8 - Track,Value,1986-01-01,1,29.266338245
8 - Track,Value,1987-01-01,1,29.266338245
8 - Track,Value,1988-01-01,1,29.266338245
8 - Track,Value,1989-01-01,1,29.266338245
8 - Track,Value,1990-01-01,1,29.266338245
8 - Track,Value,1991-01-01,1,29.266338245
8 - Track,Value,1992-01-01,1,29.266338245
8 - Track,Value,1993-01-01,1,29.266338245
8 - Track,Value,1994-01-01,1,29.266338245
8 - Track,Value,1995-01-01,1,29.266338245
8 - Track,Value,1996-01-01,1,29.266338245
8 - Track,Value,1997-01-01,1,29.266338245
8 - Track,Value,1998-01-01,1,29.266338245
8 - Track,Value,1999-01-01,1,29.266338245
8 - Track,Value,2000-01-01,1,29.266338245
8 - Track,Value,2001-01-01,1,29.266338245
8 - Track,Value,2002-01-01,1,29.266338245
8 - Track,Value,2003-01-01,1,29.266338245
8 - Track,Value,2004-01-01,1,29.266338245
8 - Track,Value,2005-01-01,1,29.266338245
8 - Track,Value,2006-01-01,1,29.266338245
8 - Track,Value,2007-01-01,1,29.266338245
8 - Track,Value,2008-01-01,1,29.266338245
8 - Track,Value,2009-01-01,1,29.266338245
8 - Track,Value,2010-01-01,1,29.266338245
8 - Track,Value,2011-01-01,1,29.266338245
8 - Track,Value,2012-01-01,1,29.266338245
8 - Track,Value,2013-01-01,1,29.266338245
8 - Track,Value,2014-01-01,1,29.266338245
8 - Track,Value,2015-01-01,1,29.266338245
8 - Track,Value,2016-01-01,1,29.266338245
8 - Track,Value,2017-01-01,1,29.266338245
8 - Track,Value,2018-01-01,1,29.266338245
8 - Track,Value,2019-01-01,1,29.266338245
Cassette Single,Value,1986-01-01,1,29.266338245
Cassette Single,Value,1987-01-01,1,14.3
Cassette Single,Value,1988-01-01,1,57.3
Cassette Single,Value,1989-01-01,1,194.6
Cassette Single,Value,1990-01-01,1,257.9
Cassette Single,Value,1991-01-01,1,230.4
Cassette Single,Value,1992-01-01,1,298.8
Cassette Single,Value,1993-01-01,1,298.5
Cassette Single,Value,1994-01-01,1,274.9
Cassette Single,Value,1995-01-01,1,236.3
Cassette Single,Value,1996-01-01,1,189.3
Cassette Single,Value,1997-01-01,1,133.5
Cassette Single,Value,1998-01-01,1,94.4
Cassette Single,Value,1999-01-01,1,48.0
Cassette Single,Value,2000-01-01,1,4.6
Cassette Single,Value,2001-01-01,1,5.3
Cassette Single,Value,2002-01-01,1,1.6
Cassette Single,Value,2003-01-01,1,29.266338245
Cassette Single,Value,2004-01-01,1,29.266338245
Cassette Single,Value,2005-01-01,1,29.266338245
Cassette Single,Value,2006-01-01,1,29.266338245
Cassette Single,Value,2007-01-01,1,29.266338245
Cassette Single,Value,2008-01-01,1,29.266338245
Cassette Single,Value,2009-01-01,1,29.266338245
Cassette Single,Value,2010-01-01,1,29.266338245
Cassette Single,Value,2011-01-01,1,29.266338245
Cassette Single,Value,2012-01-01,1,29.266338245
Cassette Single,Value,2013-01-01,1,29.266338245
Cassette Single,Value,2014-01-01,1,29.266338245
Cassette Single,Value,2015-01-01,1,29.266338245
Cassette Single,Value,2016-01-01,1,29.266338245
Cassette Single,Value,2017-01-01,1,29.266338245
Cassette Single,Value,2018-01-01,1,29.266338245
Cassette Single,Value,2019-01-01,1,29.266338245
DVD Audio,Value,1973-01-01,1,29.266338245
DVD Audio,Value,1974-01-01,1,29.266338245
DVD Audio,Value,1975-01-01,1,29.266338245
DVD Audio,Value,1976-01-01,1,29.266338245
DVD Audio,Value,1977-01-01,1,29.266338245
DVD Audio,Value,1978-01-01,1,29.266338245
DVD Audio,Value,1979-01-01,1,29.266338245
DVD Audio,Value,1980-01-01,1,29.266338245
DVD Audio,Value,1981-01-01,1,29.266338245
DVD Audio,Value,1982-01-01,1,29.266338245
DVD Audio,Value,1983-01-01,1,29.266338245
DVD Audio,Value,1984-01-01,1,29.266338245
DVD Audio,Value,1985-01-01,1,29.266338245
DVD Audio,Value,1986-01-01,1,29.266338245
DVD Audio,Value,1987-01-01,1,29.266338245
DVD Audio,Value,1988-01-01,1,29.266338245
DVD Audio,Value,1989-01-01,1,29.266338245
DVD Audio,Value,1990-01-01,1,29.266338245
DVD Audio,Value,1991-01-01,1,29.266338245
DVD Audio,Value,1992-01-01,1,29.266338245
DVD Audio,Value,1993-01-01,1,29.266338245
DVD Audio,Value,1994-01-01,1,29.266338245
DVD Audio,Value,1995-01-01,1,29.266338245
DVD Audio,Value,1996-01-01,1,29.266338245
DVD Audio,Value,1997-01-01,1,29.266338245
DVD Audio,Value,1998-01-01,1,29.266338245
DVD Audio,Value,1999-01-01,1,29.266338245
DVD Audio,Value,2000-01-01,1,29.266338245
DVD Audio,Value,2001-01-01,1,6.0
DVD Audio,Value,2002-01-01,1,8.5
DVD Audio,Value,2003-01-01,1,8.0
DVD Audio,Value,2004-01-01,1,6.5
DVD Audio,Value,2005-01-01,1,11.2
DVD Audio,Value,2006-01-01,1,2.4
DVD Audio,Value,2007-01-01,1,2.8
DVD Audio,Value,2008-01-01,1,1.2
DVD Audio,Value,2009-01-01,1,1.6
DVD Audio,Value,2010-01-01,1,0.9
DVD Audio,Value,2011-01-01,1,0.3
DVD Audio,Value,2012-01-01,1,0.183106992
DVD Audio,Value,2013-01-01,1,0.495804191
DVD Audio,Value,2014-01-01,1,2.139460944
DVD Audio,Value,2015-01-01,1,5.416232673
DVD Audio,Value,2016-01-01,1,2.83553587
DVD Audio,Value,2017-01-01,1,2.606840648
DVD Audio,Value,2018-01-01,1,3.317383752
DVD Audio,Value,2019-01-01,1,1.067303184
Download Album,Value,1973-01-01,1,29.266338245
Download Album,Value,1974-01-01,1,29.266338245
Download Album,Value,1975-01-01,1,29.266338245
Download Album,Value,1976-01-01,1,29.266338245
Download Album,Value,1977-01-01,1,29.266338245
Download Album,Value,1978-01-01,1,29.266338245
Download Album,Value,1979-01-01,1,29.266338245
Download Album,Value,1980-01-01,1,29.266338245
Download Album,Value,1981-01-01,1,29.266338245
Download Album,Value,1982-01-01,1,29.266338245
Download Album,Value,1983-01-01,1,29.266338245
Download Album,Value,1984-01-01,1,29.266338245
Download Album,Value,1985-01-01,1,29.266338245
Download Album,Value,1986-01-01,1,29.266338245
Download Album,Value,1987-01-01,1,29.266338245
Download Album,Value,1988-01-01,1,29.266338245
Download Album,Value,1989-01-01,1,29.266338245
Download Album,Value,1990-01-01,1,29.266338245
Download Album,Value,1991-01-01,1,29.266338245
Download Album,Value,1992-01-01,1,29.266338245
Download Album,Value,1993-01-01,1,29.266338245
Download Album,Value,1994-01-01,1,29.266338245
Download Album,Value,1995-01-01,1,29.266338245
Download Album,Value,1996-01-01,1,29.266338245
Download Album,Value,1997-01-01,1,29.266338245
Download Album,Value,1998-01-01,1,29.266338245
Download Album,Value,1999-01-01,1,29.266338245
Download Album,Value,2000-01-01,1,29.266338245
Download Album,Value,2001-01-01,1,29.266338245
Download Album,Value,2002-01-01,1,29.266338245
Download Album,Value,2003-01-01,1,29.266338245
Download Album,Value,2004-01-01,1,45.5
Download Album,Value,2005-01-01,1,135.7
Download Album,Value,2006-01-01,1,275.9
Download Album,Value,2007-01-01,1,497.4
Download Album,Value,2008-01-01,1,635.3
Download Album,Value,2009-01-01,1,744.3
Download Album,Value,2010-01-01,1,872.4
Download Album,Value,2011-01-01,1,29.266338245
Download Album,Value,2012-01-01,1,29.266338245
Download Album,Value,2013-01-01,1,29.266338245
Download Album,Value,2014-01-01,1,29.266338245
Download Album,Value,2015-01-01,1,29.266338245
Download Album,Value,2016-01-01,1,868.5942684
Download Album,Value,2017-01-01,1,668.5007059
Download Album,Value,2018-01-01,1,499.6508324
Download Album,Value,2019-01-01,1,394.5330062
Download Music Video,Value,1973-01-01,1,29.266338245
Download Music Video,Value,1974-01-01,1,29.266338245
